"","topic","gamma","id"
"1055",2,0.7642,8009
"1056",8,0.99838,8010
"1057",11,0.84704,8014
"1058",11,0.84101,8018
"1059",5,0.9988,8034
"1060",6,0.92678,8037
"1061",6,0.99828,8042
"1062",8,0.96696,8048
"1063",11,0.99795,8070
"1064",11,0.99678,8073
"1065",3,0.85653,8078
"1066",12,0.89011,8081
"1067",3,0.66597,8083
"1068",11,0.99407,8090
"1069",6,0.29941,8091
"1070",11,0.89919,8100
"1071",11,0.99791,8108
"1072",3,0.57907,8141
"1073",2,0.43473,8146
"1074",9,0.48384,8147
"1075",6,0.99682,8164
"1076",11,0.83029,8168
